round_hour,event_headline,event_narrative,social_state,stock_price,percent_change,mkt_sentiment,round_date,round_idx,stock_num,pct_change_num
2046-05-31T09:00:00Z,SaltWind Piece #1 drops — data broker partnerships exposed,"Pre-crisis Day 11 (2046-05-31, Thursday). SaltWind Journal publishes Piece #1: 'TenantThread's Data Broker Partnerships Raise Questions About Tenant Privacy.' Not front-page but signals a reporter has a source inside TenantThread. Platform Trust goes on immediate defensive. In Shadow: 'This is the beginning of the story getting out.'",Industry chatter intensifying. @PropTechWatcher posts analysis thread.,$33.40,-2.3%,negative,2046-05-31,11,33.4,-2.3
2046-06-01T09:00:00Z,Damage control; ResidentIQ attacks; 'No Plan B' speech,"Pre-crisis Day 12 (2046-06-01, Friday). Damage control mode. PR team issues careful non-denial of SaltWind piece. ResidentIQ publicly posts 'privacy-first is not a feature, it's the floor' — gets 4,200 retweets. In Shadow: 'We need this merger to close before this gets any worse.' Ajay sends evening DM: 'No Plan B.'","ResidentIQ 'privacy-first' campaign gaining momentum (4,200 RT). Competitor capitalizing.",$32.60,-2.4%,negative,2046-06-01,12,32.6,-2.4
2046-06-04T09:00:00Z,SaltWind Piece #2 — re-identification risk; eve of crisis,"Pre-crisis Day 13 (2046-06-04, Monday). SaltWind Journal publishes Piece #2: 'Re-Identification Risk: How TenantThread's Anonymous Analytics Can Expose Individual Tenants.' Sentiment drops sharply. Compliance warnings tightened. Ajay sends late-night DM: 'Hold the line. Tomorrow will be hard but we are close. Trust the process.' Tomorrow is the crisis day.",Sentiment deteriorating rapidly. #AlgorithmicEviction emerging.,$31.50,-3.4%,critical,2046-06-04,13,31.5,-3.4
2046-06-05T09:00:00Z,9:00 AM.,9:00 AM. SaltWind Journal exposé drops: 'TenantThread's Secret Scoring System — How Your Maintenance Requests Are Being Used Against You.' Flex erupts with #TenantThread tenant complaints. @TenantRights_Org retweets to 180K followers. The stock opened down 8% on the news.,Hashtags trending: #TenantThread,NA,-8%,LOW,2046-06-05,14,NA,-8
2046-06-05T10:00:00Z,10:00 AM.,"10:00 AM. #AlgorithmicEviction begins trending on Flex — top 5 nationally. @HousingJusticeNow launches a thread dissecting all three scores — Payment Friction Index, Service Load Score, Exit Probability — with screenshots from leaked operator dashboards. Operator clients are receiving calls from reporters asking for comment. Stock is down 12% intraday.",Hashtags trending: #AlgorithmicEviction,NA,-12%,LOW,2046-06-05,15,NA,-12
2046-06-05T11:00:00Z,10:00 AM.,"10:00 AM. SaltWind Journal publishes: 'EXCLUSIVE: ResidentIQ in Advanced Talks to Acquire TenantThread in Distressed Sale Valued at $180M.' The acquirer is wrong. The valuation is wrong. The framing is wrong. The article notes TenantThread 'did not respond to requests for comment sent at 9:15 AM and 10:30 AM.' Stock: $27.80, down 4.2% on 3x normal volume. #ResidentIQ and #TenantThread trending together on Flex.","Hashtags trending: #TenantThread, #ResidentIQ",$180,-4.2%,LOW,2046-06-05,16,180,-4.2
2046-06-05T12:00:00Z,12:00 PM.,"12:00 PM. Marcus Chen (SaltWind) messages PR directly: 'Publishing an update at 12:30 PM. Two market sources confirm ResidentIQ. Your silence is being recorded as a third non-response. Last chance to shape this before it sets.' @PinnacleResidential posts publicly demanding answers. Sentiment: CRITICAL. Stock: $27.20, down 6.2%.",NA,$27.20,-6.2%,CRITICAL,2046-06-05,17,27.2,-6.2
2046-06-05T13:00:00Z,1:00 PM.,"1:00 PM. CivicLoom outside counsel sends formal notice pursuant to Section 4.2(c) of the Merger Agreement. Stock at $26.90. Legal and Judge pulled into emergency calls — unavailable for Comms Huddle. Anonymous Flex post: 'If you think this is about ResidentIQ, you haven't been paying attention. #CivicLoom #TenantThread #6PM'","Hashtags trending: #CivicLoom, #TenantThread, #6PM",$26.90,NA,CRITICAL,2046-06-05,18,26.9,NA
2046-06-05T14:00:00Z,2:00 PM.,"2:00 PM. CEO Ajay messages the team: CivicLoom board requests delay, 6 PM announcement may push to tomorrow. Rep. Maxine Torres calls for Fair Housing Act review. @PinnacleResidential announces departure to @BuildingOS. ARR drops to $18.0M — covenant breach territory. SaltWind new angle: 'TenantThread Goes Dark.'",NA,$18.0,NA,CRITICAL,2046-06-05,19,18,NA
2046-06-05T15:00:00Z,3:00 PM.,3:00 PM. OceanCrunch publishes: 'TenantThread's Crisis of Silence.' @HorizonMgmt exercises SLA termination. ARR at $18.0M — technical covenant breach. Board Chair messages Judge demanding explanation. Outside counsel recommends immediate narrowly-scoped correction.,NA,$18.0,NA,CRITICAL,2046-06-05,20,18,NA
2046-06-05T16:00:00Z,4:00 PM.,4:00 PM. SaltWind confirmed publishing merger story at 5:00 PM. Board escalates. @PropTechWatcher: merger 'hours not days.' Employee posts going viral. CivicLoom M&A lead warns of MAC clause review if sentiment doesn't improve.,NA,NA,NA,CRITICAL,2046-06-05,21,NA,NA
2046-06-05T17:00:00Z,5:00 PM.,5:00 PM. SaltWind publishes: 'EXCLUSIVE: TenantThread and CivicLoom in Advanced Merger Talks.' CEO Ajay: 'Sixty minutes. Hold the line. The announcement goes official at 6.',NA,NA,NA,CRITICAL,2046-06-05,22,NA,NA
2046-06-05T18:00:00Z,6:00 PM.,6:00 PM. The Project HarborCrest embargo has officially lifted. The CivicLoom merger is now cleared for public announcement.,NA,NA,NA,RECOVERING,2046-06-05,23,NA,NA
